,after_found,after_path,before_found,before_path,combo_after,combo_before,dorn_after,dorn_before,scalabrino_after,scalabrino_before,filename,url,input_sha
21,True,TeamBliss-LP-android_frameworks_base/02a078d088cabe694a07e6f916fe8a0eda58f74c/ShapeDrawable.java/after/ShapeDrawable.java,True,TeamBliss-LP-android_frameworks_base/02a078d088cabe694a07e6f916fe8a0eda58f74c/ShapeDrawable.java/before/ShapeDrawable.java,0.8287623003125191,0.838969349861145,0.9095076028257608,0.9179089003524116,0.789222751557827,0.8093063651129256,ShapeDrawable.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,02a078d088cabe694a07e6f916fe8a0eda58f74c
22,True,TeamBliss-LP-android_frameworks_base/02a078d088cabe694a07e6f916fe8a0eda58f74c/StateListDrawable.java/after/StateListDrawable.java,True,TeamBliss-LP-android_frameworks_base/02a078d088cabe694a07e6f916fe8a0eda58f74c/StateListDrawable.java/before/StateListDrawable.java,0.8372674545361882,0.8372674545361882,0.913811111345976,0.9138090494864932,0.7836903102274629,0.7836897979889598,StateListDrawable.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,02a078d088cabe694a07e6f916fe8a0eda58f74c
23,True,TeamBliss-LP-android_frameworks_base/00fcdc1236a8730d4c69c779a92b2c20cdb54be6/VoiceInteractor.java/after/VoiceInteractor.java,True,TeamBliss-LP-android_frameworks_base/00fcdc1236a8730d4c69c779a92b2c20cdb54be6/VoiceInteractor.java/before/VoiceInteractor.java,0.8461204236994188,0.8369346146400158,0.8549357112497091,0.8507905049392809,0.7100444794632494,0.7040270440853559,VoiceInteractor.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,00fcdc1236a8730d4c69c779a92b2c20cdb54be6
24,True,TeamBliss-LP-android_frameworks_base/00fcdc1236a8730d4c69c779a92b2c20cdb54be6/VoiceInteractionSession.java/after/VoiceInteractionSession.java,True,TeamBliss-LP-android_frameworks_base/00fcdc1236a8730d4c69c779a92b2c20cdb54be6/VoiceInteractionSession.java/before/VoiceInteractionSession.java,0.8337444326310766,0.8306184063220153,0.9022390529622928,0.8914084541510142,0.7516255341105017,0.7234875252166681,VoiceInteractionSession.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,00fcdc1236a8730d4c69c779a92b2c20cdb54be6
25,True,TeamBliss-LP-android_frameworks_base/00fcdc1236a8730d4c69c779a92b2c20cdb54be6/MainInteractionSession.java/after/MainInteractionSession.java,True,TeamBliss-LP-android_frameworks_base/00fcdc1236a8730d4c69c779a92b2c20cdb54be6/MainInteractionSession.java/before/MainInteractionSession.java,0.7820454955101013,0.8240907341241837,0.8205460667610168,0.8819657042622566,0.6405435055494308,0.7087623737752438,MainInteractionSession.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,00fcdc1236a8730d4c69c779a92b2c20cdb54be6
26,True,TeamBliss-LP-android_frameworks_base/00fcdc1236a8730d4c69c779a92b2c20cdb54be6/TestInteractionActivity.java/after/TestInteractionActivity.java,True,TeamBliss-LP-android_frameworks_base/00fcdc1236a8730d4c69c779a92b2c20cdb54be6/TestInteractionActivity.java/before/TestInteractionActivity.java,0.7909952141344547,0.7973451435565948,0.8937804289162159,0.8782249748706817,0.8446310982108116,0.8681500673294067,TestInteractionActivity.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,00fcdc1236a8730d4c69c779a92b2c20cdb54be6
27,True,TeamBliss-LP-android_frameworks_base/43002aba7f7610c4aa09bbbfa10b9e4c4feb3004/Ripple.java/after/Ripple.java,True,TeamBliss-LP-android_frameworks_base/43002aba7f7610c4aa09bbbfa10b9e4c4feb3004/Ripple.java/before/Ripple.java,0.8197223896330054,0.7982968774934609,0.8812873756343668,0.8868004127095143,0.8062771138819781,0.727796093126138,Ripple.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,43002aba7f7610c4aa09bbbfa10b9e4c4feb3004
28,True,TeamBliss-LP-android_frameworks_base/43002aba7f7610c4aa09bbbfa10b9e4c4feb3004/TouchFeedbackDrawable.java/after/TouchFeedbackDrawable.java,True,TeamBliss-LP-android_frameworks_base/43002aba7f7610c4aa09bbbfa10b9e4c4feb3004/TouchFeedbackDrawable.java/before/TouchFeedbackDrawable.java,0.7708961379371191,0.7617010594345629,0.8360350154046166,0.8317729584872723,0.7600440014349786,0.7504099316895008,TouchFeedbackDrawable.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,43002aba7f7610c4aa09bbbfa10b9e4c4feb3004
29,True,TeamBliss-LP-android_frameworks_base/59dd5be1e1f146e60a8be45e0b24b2a85ea85cd1/VectorDrawable.java/after/VectorDrawable.java,True,TeamBliss-LP-android_frameworks_base/59dd5be1e1f146e60a8be45e0b24b2a85ea85cd1/VectorDrawable.java/before/VectorDrawable.java,0.783811074951374,0.7855130337462631,0.8524521707573415,0.8526558561994595,0.7165756637842918,0.72215829442048,VectorDrawable.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,59dd5be1e1f146e60a8be45e0b24b2a85ea85cd1
30,True,TeamBliss-LP-android_frameworks_base/bfadb84f9d44ee2f74db394cec431059201b0086/WifiNative.java/after/WifiNative.java,True,TeamBliss-LP-android_frameworks_base/bfadb84f9d44ee2f74db394cec431059201b0086/WifiNative.java/before/WifiNative.java,0.8869918587036653,0.8869918587036653,0.9669259419240572,0.9669259419240572,0.8607120640797192,0.8607120640797192,WifiNative.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,bfadb84f9d44ee2f74db394cec431059201b0086
31,True,TeamBliss-LP-android_frameworks_base/bfadb84f9d44ee2f74db394cec431059201b0086/WifiStateMachine.java/after/WifiStateMachine.java,True,TeamBliss-LP-android_frameworks_base/bfadb84f9d44ee2f74db394cec431059201b0086/WifiStateMachine.java/before/WifiStateMachine.java,0.6726255800180256,0.6725708334622729,0.7150347538071065,0.7105943359644891,0.6547517687318596,0.6601736085661352,WifiStateMachine.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,bfadb84f9d44ee2f74db394cec431059201b0086
32,True,TeamBliss-LP-android_frameworks_base/303bc083c5a158ff240be658ac30d201cad56a18/CacheManager.java/after/CacheManager.java,True,TeamBliss-LP-android_frameworks_base/303bc083c5a158ff240be658ac30d201cad56a18/CacheManager.java/before/CacheManager.java,0.7762891485983143,0.7803016715275589,0.8840756336025758,0.8777590975998868,0.8350725402434667,0.8249585439761479,CacheManager.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,303bc083c5a158ff240be658ac30d201cad56a18
33,True,TeamBliss-LP-android_frameworks_base/938d2fbc57f05cc9bab9b551d7a454644208ee07/WebResourceResponse.java/after/WebResourceResponse.java,True,TeamBliss-LP-android_frameworks_base/938d2fbc57f05cc9bab9b551d7a454644208ee07/WebResourceResponse.java/before/WebResourceResponse.java,0.9243336861783809,0.9225890473885968,0.9796695925972678,0.979370128024708,0.9086204929785296,0.905343088236722,WebResourceResponse.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,938d2fbc57f05cc9bab9b551d7a454644208ee07
34,True,TeamBliss-LP-android_frameworks_base/e438fdca840b6362804f8686650df862e954ed3d/LongSparseArray.java/after/LongSparseArray.java,True,TeamBliss-LP-android_frameworks_base/e438fdca840b6362804f8686650df862e954ed3d/LongSparseArray.java/before/LongSparseArray.java,0.8151528717655885,0.8220683343708515,0.9327999290667082,0.9374422505497932,0.8802405564408553,0.8808162808418274,LongSparseArray.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,e438fdca840b6362804f8686650df862e954ed3d
35,True,TeamBliss-LP-android_frameworks_base/8986b7e00c187535e0863af4d4461d599213b86d/ContentResolver.java/after/ContentResolver.java,True,TeamBliss-LP-android_frameworks_base/8986b7e00c187535e0863af4d4461d599213b86d/ContentResolver.java/before/ContentResolver.java,0.7797411176420393,0.7794507758484946,0.8682779836512747,0.8679099041554663,0.7999964041842355,0.7995048314332962,ContentResolver.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,8986b7e00c187535e0863af4d4461d599213b86d
36,True,TeamBliss-LP-android_frameworks_base/8986b7e00c187535e0863af4d4461d599213b86d/ContentService.java/after/ContentService.java,True,TeamBliss-LP-android_frameworks_base/8986b7e00c187535e0863af4d4461d599213b86d/ContentService.java/before/ContentService.java,0.6766116810962558,0.6775260819122195,0.7782668441301211,0.7821084216004237,0.540104610286653,0.5431095896288752,ContentService.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,8986b7e00c187535e0863af4d4461d599213b86d
37,True,TeamBliss-LP-android_frameworks_base/8986b7e00c187535e0863af4d4461d599213b86d/ContentObservable.java/after/ContentObservable.java,False,TeamBliss-LP-android_frameworks_base/8986b7e00c187535e0863af4d4461d599213b86d/ContentObservable.java/before/ContentObservable.java,0.8872694174448649,,0.9656569560368856,,0.8665503660837809,,ContentObservable.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,8986b7e00c187535e0863af4d4461d599213b86d
38,True,TeamBliss-LP-android_frameworks_base/8986b7e00c187535e0863af4d4461d599213b86d/ContentObserver.java/after/ContentObserver.java,False,TeamBliss-LP-android_frameworks_base/8986b7e00c187535e0863af4d4461d599213b86d/ContentObserver.java/before/ContentObserver.java,0.909127099947496,,0.9746008515357972,,0.881666665727442,,ContentObserver.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,8986b7e00c187535e0863af4d4461d599213b86d
39,True,TeamBliss-LP-android_frameworks_base/8986b7e00c187535e0863af4d4461d599213b86d/DataSetObservable.java/after/DataSetObservable.java,True,TeamBliss-LP-android_frameworks_base/8986b7e00c187535e0863af4d4461d599213b86d/DataSetObservable.java/before/DataSetObservable.java,0.8523671627044678,0.8491120934486389,0.9874350130558014,0.9847728610038756,0.8803030848503113,0.8699482977390289,DataSetObservable.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,8986b7e00c187535e0863af4d4461d599213b86d
40,True,TeamBliss-LP-android_frameworks_base/8986b7e00c187535e0863af4d4461d599213b86d/Observable.java/after/Observable.java,False,TeamBliss-LP-android_frameworks_base/8986b7e00c187535e0863af4d4461d599213b86d/Observable.java/before/Observable.java,0.8088730971018473,,0.9692208965619404,,0.8743165334065756,,Observable.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,8986b7e00c187535e0863af4d4461d599213b86d
